Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,WATER,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,WATER_lib#,#pixels,%pixels
165,2,BARE SOIL-GREEN VEG,soil_X182_Y152,Uplands_X188_Y51,,,10,26,,,55,    0.048189
166,2,BARE SOIL-GREEN VEG,soil_X228_Y145,greenveg_X186_Y103,,,11,12,,,133,    0.116530
167,2,BARE SOIL-GREEN VEG,soil_X228_Y145,greenveg_X196_Y133,,,11,13,,,7,    0.006133
168,2,BARE SOIL-GREEN VEG,soil_X228_Y145,greenveg_X196_Y48,,,11,14,,,405,    0.354846
169,2,BARE SOIL-GREEN VEG,soil_X228_Y145,greenveg_X198_Y130,,,11,15,,,1053,    0.922600
170,2,BARE SOIL-GREEN VEG,soil_X228_Y145,greenveg_X214_Y133,,,11,16,,,18,    0.015771
171,2,BARE SOIL-GREEN VEG,soil_X228_Y145,greenveg_X214_Y163,,,11,17,,,19,    0.016647
172,2,BARE SOIL-GREEN VEG,soil_X228_Y145,greenveg_X214_Y199,,,11,18,,,20,    0.017523
173,2,BARE SOIL-GREEN VEG,soil_X228_Y145,greenveg_X218_Y247,,,11,19,,,234,    0.205022
174,2,BARE SOIL-GREEN VEG,soil_X228_Y145,greenveg_X225_Y41,,,11,20,,,96,    0.084112
175,2,BARE SOIL-GREEN VEG,soil_X228_Y145,greenveg_X83_Y198,,,11,21,,,956,    0.837612
176,2,BARE SOIL-GREEN VEG,soil_X228_Y145,Pickleweed_X176_Y92,,,11,22,,,22,    0.019276
177,2,BARE SOIL-GREEN VEG,soil_X228_Y145,Pickleweed_X185_Y145,,,11,23,,,278,    0.243573
178,2,BARE SOIL-GREEN VEG,soil_X228_Y145,Pickleweed_X198_Y51,,,11,24,,,254,    0.222545
179,2,BARE SOIL-GREEN VEG,soil_X228_Y145,Uplands_X168_Y121,,,11,25,,,1722,    1.508753
180,2,BARE SOIL-GREEN VEG,soil_X228_Y145,Uplands_X188_Y51,,,11,26,,,147,    0.128796
181,2,BARE SOIL-NPV,BareSoil_X182_Y120,,npv_X183_Y44,,0,,27,,1556,    1.363310
182,2,BARE SOIL-NPV,BareSoil_X182_Y120,,npv_X187_Y40,,0,,28,,35,    0.030666
183,2,BARE SOIL-NPV,BareSoil_X182_Y120,,npv_X254_Y22,,0,,29,,29,    0.025409
184,2,BARE SOIL-NPV,BareSoil_X184_Y114,,npv_X183_Y44,,1,,27,,1186,    1.039129
185,2,BARE SOIL-NPV,BareSoil_X184_Y114,,npv_X187_Y40,,1,,28,,35,    0.030666
186,2,BARE SOIL-NPV,BareSoil_X184_Y114,,npv_X254_Y22,,1,,29,,148,    0.129672
187,2,BARE SOIL-NPV,BareSoil_X191_Y113,,npv_X183_Y44,,2,,27,,105,    0.091997
188,2,BARE SOIL-NPV,BareSoil_X191_Y113,,npv_X187_Y40,,2,,28,,34,    0.029790
189,2,BARE SOIL-NPV,BareSoil_X191_Y113,,npv_X254_Y22,,2,,29,,15,    0.013142
190,2,BARE SOIL-NPV,BareSoil_X199_Y142,,npv_X183_Y44,,3,,27,,1569,    1.374700
191,2,BARE SOIL-NPV,BareSoil_X199_Y142,,npv_X187_Y40,,3,,28,,325,    0.284753
192,2,BARE SOIL-NPV,BareSoil_X199_Y142,,npv_X254_Y22,,3,,29,,75,    0.065712
193,2,BARE SOIL-NPV,BareSoil_X200_Y136,,npv_X183_Y44,,4,,27,,55,    0.048189
194,2,BARE SOIL-NPV,BareSoil_X200_Y136,,npv_X187_Y40,,4,,28,,13,    0.011390
195,2,BARE SOIL-NPV,BareSoil_X200_Y136,,npv_X254_Y22,,4,,29,,3,    0.002628
196,2,BARE SOIL-NPV,BareSoil_X219_Y150,,npv_X183_Y44,,5,,27,,2,    0.001752
197,2,BARE SOIL-NPV,BareSoil_X219_Y150,,npv_X187_Y40,,5,,28,,0,0
198,2,BARE SOIL-NPV,BareSoil_X219_Y150,,npv_X254_Y22,,5,,29,,0,0
199,2,BARE SOIL-NPV,BareSoil_X220_Y142,,npv_X183_Y44,,6,,27,,37,    0.032418
200,2,BARE SOIL-NPV,BareSoil_X220_Y142,,npv_X187_Y40,,6,,28,,16,    0.014019
201,2,BARE SOIL-NPV,BareSoil_X220_Y142,,npv_X254_Y22,,6,,29,,4,    0.003505
202,2,BARE SOIL-NPV,BareSoil_X225_Y62,,npv_X183_Y44,,7,,27,,115,    0.100759
203,2,BARE SOIL-NPV,BareSoil_X225_Y62,,npv_X187_Y40,,7,,28,,23,    0.020152
204,2,BARE SOIL-NPV,BareSoil_X225_Y62,,npv_X254_Y22,,7,,29,,13,    0.011390
205,2,BARE SOIL-NPV,soil_X168_Y150,,npv_X183_Y44,,8,,27,,59,    0.051694
206,2,BARE SOIL-NPV,soil_X168_Y150,,npv_X187_Y40,,8,,28,,21,    0.018399
207,2,BARE SOIL-NPV,soil_X168_Y150,,npv_X254_Y22,,8,,29,,9,    0.007885
208,2,BARE SOIL-NPV,soil_X174_Y161,,npv_X183_Y44,,9,,27,,37,    0.032418
209,2,BARE SOIL-NPV,soil_X174_Y161,,npv_X187_Y40,,9,,28,,7,    0.006133
210,2,BARE SOIL-NPV,soil_X174_Y161,,npv_X254_Y22,,9,,29,,0,0
211,2,BARE SOIL-NPV,soil_X182_Y152,,npv_X183_Y44,,10,,27,,785,    0.687788
212,2,BARE SOIL-NPV,soil_X182_Y152,,npv_X187_Y40,,10,,28,,38,    0.033294
213,2,BARE SOIL-NPV,soil_X182_Y152,,npv_X254_Y22,,10,,29,,27,    0.023656
214,2,BARE SOIL-NPV,soil_X228_Y145,,npv_X183_Y44,,11,,27,,3224,    2.824750
215,2,BARE SOIL-NPV,soil_X228_Y145,,npv_X187_Y40,,11,,28,,152,    0.133177
216,2,BARE SOIL-NPV,soil_X228_Y145,,npv_X254_Y22,,11,,29,,55,    0.048189
217,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,Algae/Water_X166_Y190,0,,,30,2,    0.001752
218,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,Algae/Water_X173_Y223,0,,,31,25,    0.021904
219,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,algae_X161_Y225,0,,,32,3,    0.002628
220,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,algae_X162_Y245,0,,,33,18,    0.015771
221,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,algae_X180_Y235,0,,,34,53,    0.046437
222,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,algae_X193_Y210,0,,,35,60,    0.052570
223,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,algae_X207_Y206,0,,,36,114,    0.099883
224,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,algae_X209_Y208,0,,,37,10,    0.008762
225,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,shallowwater_X130_Y44,0,,,38,135,    0.118282
226,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,shallowwater_X172_Y158,0,,,39,0,0
227,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,shallowwater_X173_Y81,0,,,40,309,    0.270734
228,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,shallowwater_X180_Y160,0,,,41,62,    0.054322
229,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,shallowwater_X203_Y145,0,,,42,6,    0.005257
230,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,shallowwater_X207_Y145,0,,,43,12,    0.010514
231,2,BARE SOIL-WATER,BareSoil_X182_Y120,,,Water_X172_Y208,0,,,44,36,    0.031542
