Model#,#EM,Model,ALGAE/WATER,BARE SOIL,PICKLEWEED,SHALLOW WATER,UPLANDS,WATER,ALGAE/WATER_lib#,BARE SOIL_lib#,PICKLEWEED_lib#,SHALLOW WATER_lib#,UPLANDS_lib#,WATER_lib#,#pixels,%pixels
169,2,ALGAE/WATER-WATER,Algae/Water_X172_Y224,,,,,Water_X198_Y103,1,,,,,52,0,0
170,2,ALGAE/WATER-WATER,Algae/Water_X172_Y224,,,,,Water_X199_Y103,1,,,,,53,0,0
171,2,ALGAE/WATER-WATER,Algae/Water_X172_Y224,,,,,Water_X210_Y122,1,,,,,54,0,0
172,2,ALGAE/WATER-WATER,Algae/Water_X176_Y217,,,,,Water_X174_Y193,2,,,,,51,0,0
173,2,ALGAE/WATER-WATER,Algae/Water_X176_Y217,,,,,Water_X198_Y103,2,,,,,52,0,0
174,2,ALGAE/WATER-WATER,Algae/Water_X176_Y217,,,,,Water_X199_Y103,2,,,,,53,0,0
175,2,ALGAE/WATER-WATER,Algae/Water_X176_Y217,,,,,Water_X210_Y122,2,,,,,54,0,0
176,2,ALGAE/WATER-WATER,Algae/Water_X177_Y217,,,,,Water_X174_Y193,3,,,,,51,0,0
177,2,ALGAE/WATER-WATER,Algae/Water_X177_Y217,,,,,Water_X198_Y103,3,,,,,52,0,0
178,2,ALGAE/WATER-WATER,Algae/Water_X177_Y217,,,,,Water_X199_Y103,3,,,,,53,0,0
179,2,ALGAE/WATER-WATER,Algae/Water_X177_Y217,,,,,Water_X210_Y122,3,,,,,54,0,0
180,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,220302b.20m.asd                 No-OAR,,,,,4,24,,,,0,0
181,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,220302b.24m.asd                 No-OAR,,,,,4,25,,,,0,0
182,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,220302b.26m.asd                 No-OAR,,,,,4,26,,,,0,0
183,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X173_Y144,,,,,4,27,,,,0,0
184,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X175_Y140,,,,,4,28,,,,0,0
185,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X175_Y92,,,,,4,29,,,,0,0
186,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X177_Y93,,,,,4,30,,,,0,0
187,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X178_Y93,,,,,4,31,,,,0,0
188,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X195_Y52,,,,,4,32,,,,0,0
189,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X198_Y50,,,,,4,33,,,,0,0
190,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X200_Y50,,,,,4,34,,,,0,0
191,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X201_Y50,,,,,4,35,,,,0,0
192,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X201_Y50,,,,,4,36,,,,0,0
193,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X217_Y163,,,,,4,37,,,,0,0
194,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,220302b.20m.asd                 No-OAR,,,,,5,24,,,,0,0
