Output of VIPER 2 Tools EAR/MASA/COB routine: Mon Aug 28 15:08:59 2023

Name:,Spectrum name
Group:, Attribute in grouping field
EAR:, Within group Endmember Average Root Mean Squared Error
MASA:, Within group Average Spectral Angle
InCoB:, Within group count of spectra modeled
OutCoB:, Outside of group count of spectra modeled
CoBI:, CoB Index calculated as: InCoB/OutCoB/number of spectra in group

Name,Group,EAR,MASA,InCoB,OutCoB,CoBI
ShallowWater_X200_Y60, SHALLOW WATER,   6.17232e-06,      0.309755,            7,          183,    0.00478142
ShallowWater_X201_Y60, SHALLOW WATER,   6.54696e-06,      0.313474,            0,            0,       0.00000
ShallowWater_X202_Y211, SHALLOW WATER,   5.58548e-06,      0.248039,            0,            0,       0.00000
ShallowWater_X203_Y211, SHALLOW WATER,   5.61239e-06,      0.246000,            0,            0,       0.00000
Trees_X136_Y152, TREES,   1.05775e-05,      0.569588,            0,            0,       0.00000
Trees_X136_Y153, TREES,   1.10223e-05,      0.603710,            0,            0,       0.00000
Trees_X219_Y186, TREES,   1.07738e-05,      0.586020,            0,            0,       0.00000
Trees_X9_Y106, TREES,   7.81124e-06,      0.652333,           21,          148,    0.00644963
Trees_X9_Y106, TREES,   1.08955e-05,      0.595188,            0,            0,       0.00000
Trees_X9_Y106, TREES,   1.08032e-05,      0.588766,            0,            0,       0.00000
Trees_X9_Y106, TREES,   7.24430e-06,      0.617363,            0,            0,       0.00000
Trees_X9_Y106, TREES,   1.08474e-05,      0.592822,            0,            0,       0.00000
Trees_X9_Y106, TREES,   1.06642e-05,      0.576216,            0,            0,       0.00000
Trees_X9_Y106, TREES,   8.81849e-06,      0.586878,            0,            0,       0.00000
Trees_X9_Y106, TREES,   7.30735e-06,      0.620858,            0,            0,       0.00000
Trees_X9_Y106, TREES,   1.07517e-05,      0.583768,            0,            0,       0.00000
Trees_X9_Y106, TREES,   7.41120e-06,      0.628651,            0,            0,       0.00000
Trees_X9_Y106, TREES,   7.79702e-06,      0.594528,            0,            0,       0.00000
Trees_X9_Y106, TREES,   7.47338e-06,      0.614428,            0,            0,       0.00000
Trees_X9_Y106, TREES,   7.71487e-06,      0.647295,            0,            0,       0.00000
Trees_X9_Y106, TREES,   7.29599e-06,      0.617825,            0,            0,       0.00000
Trees_X9_Y106, TREES,   7.32538e-06,      0.589009,            0,            0,       0.00000
Trees_X9_Y106, TREES,   1.05676e-05,      0.568459,            0,            0,       0.00000
Trees_X9_Y106, TREES,   8.27244e-06,      0.603509,            0,            0,       0.00000
Trees_X9_Y106, TREES,   1.07971e-05,      0.588585,            0,            0,       0.00000
Trees_X9_Y106, TREES,   1.08234e-05,      0.588836,            0,            0,       0.00000
Upalnds_X101_Y164, UPALNDS,   2.71702e-06,      0.227800,            0,            0,       0.00000
Upalnds_X102_Y164, UPALNDS,   2.72537e-06,      0.227439,            0,            0,       0.00000
Upalnds_X102_Y165, UPALNDS,   2.76516e-06,      0.244581,            0,            0,       0.00000
Upalnds_X103_Y164, UPALNDS,   2.59626e-06,      0.216636,            0,            0,       0.00000
Upalnds_X103_Y165, UPALNDS,   2.68157e-06,      0.234896,            0,            0,       0.00000
Upalnds_X104_Y164, UPALNDS,   2.83979e-06,      0.237670,            0,            0,       0.00000
Upalnds_X104_Y165, UPALNDS,   2.70412e-06,      0.238608,            6,          122,    0.00702576
220302b.0m.asd                 No-OAR, UPLANDS,   9.61915e-06,      0.567968,            0,            0,       0.00000
220302b.1m.asd                 No-OAR, UPLANDS,   6.30514e-06,      0.405538,            0,            0,       0.00000
220302b.2m.asd                 No-OAR, UPLANDS,   6.23046e-06,      0.402755,            0,            0,       0.00000
220302b.3m.asd                 No-OAR, UPLANDS,   6.13677e-06,      0.401997,            0,            0,       0.00000
220302b.4m.asd                 No-OAR, UPLANDS,   6.14463e-06,      0.409168,            0,            0,       0.00000
220302b.5m.asd                 No-OAR, UPLANDS,   6.99883e-06,      0.440555,            0,            0,       0.00000
220302b.6m.asd                 No-OAR, UPLANDS,   6.10174e-06,      0.403110,            0,            0,       0.00000
Uplands_X143_Y103, UPLANDS,   5.68370e-06,      0.436305,            0,            0,       0.00000
Uplands_X143_Y104, UPLANDS,   5.69279e-06,      0.422688,            0,            0,       0.00000
Uplands_X162_Y49, UPLANDS,   1.96968e-05,       1.06551,            0,            0,       0.00000
Uplands_X162_Y50, UPLANDS,   1.96505e-05,       1.06238,            0,            0,       0.00000
Uplands_X163_Y49, UPLANDS,   1.96246e-05,       1.05955,            0,            0,       0.00000
Uplands_X232_Y22, UPLANDS,   5.80764e-06,      0.438454,           14,          175,    0.00533333
Uplands_X232_Y23, UPLANDS,   5.81219e-06,      0.435825,            0,            0,       0.00000
Uplands_X233_Y22, UPLANDS,   5.75391e-06,      0.422704,            0,            0,       0.00000
Water_X105_Y296, WATER,   1.55471e-05,      0.492171,            0,            0,       0.00000
Water_X106_Y296, WATER,   1.81417e-05,      0.593509,            0,            0,       0.00000
Water_X107_Y296, WATER,   1.63836e-05,      0.520676,            0,            0,       0.00000
Water_X108_Y296, WATER,   1.47958e-05,      0.466343,            0,            0,       0.00000
Water_X173_Y193, WATER,   7.09099e-06,      0.401437,           10,          185,    0.00491400
Water_X173_Y194, WATER,   6.26671e-06,      0.368792,            0,            0,       0.00000
Water_X174_Y193, WATER,   6.26337e-06,      0.368628,            0,            0,       0.00000
Water_X198_Y103, WATER,   9.13670e-06,      0.363871,            0,            0,       0.00000
Water_X199_Y103, WATER,   6.20759e-06,      0.337029,            0,            0,       0.00000
Water_X209_Y122, WATER,   6.30881e-06,      0.369282,            0,            0,       0.00000
Water_X210_Y122, WATER,   6.67083e-06,      0.344612,            0,            0,       0.00000
WetSand_X142_Y364, WET SAND,   8.75948e-06,      0.270082,            0,            0,       0.00000
WetSand_X143_Y363, WET SAND,   4.08968e-06,      0.157633,            0,            0,       0.00000
WetSand_X143_Y364, WET SAND,   1.19061e-05,      0.367141,            0,            0,       0.00000
WetSand_X144_Y363, WET SAND,   4.42178e-06,      0.170531,            7,          181,    0.00483425
WetSand_X97_Y349, WET SAND,   4.21370e-06,      0.154490,            0,            0,       0.00000
WetSand_X97_Y350, WET SAND,   3.95243e-06,      0.152235,            0,            0,       0.00000
WetSand_X98_Y349, WET SAND,   3.78502e-06,      0.145786,            0,            0,       0.00000
WetSand_X98_Y350, WET SAND,   4.20392e-06,      0.158992,            0,            0,       0.00000
